date	day	month	monthname	year	total
2021-01-26	26	1	January	2021	3
2021-01-29	29	1	January	2021	2
2021-02-02	2	2	February	2021	10
2021-02-03	3	2	February	2021	5
2021-02-08	8	2	February	2021	11
2021-02-09	9	2	February	2021	6
2021-02-10	10	2	February	2021	7
2021-02-11	11	2	February	2021	5
2021-02-15	15	2	February	2021	7
2021-02-16	16	2	February	2021	3
2021-02-19	19	2	February	2021	4
2021-02-22	22	2	February	2021	5
2021-02-23	23	2	February	2021	4
2021-02-24	24	2	February	2021	3
2021-02-25	25	2	February	2021	5
2021-02-26	26	2	February	2021	3
2021-03-02	2	3	March	2021	5
2021-03-08	8	3	March	2021	6
2021-03-09	9	3	March	2021	3